xk,xpl,xmw,xTe,,,yts,ytt
0.4,0.65,0.8996,323,,,5.5,2
0.4,0.65,0.8658,329.2,,,5.5,2.5
0.4,0.65,0.8319,335.3,,,5.5,3
0.4,0.65,0.7978,341.5,,,5.5,3.5
0.4,0.65,0.7636,347.7,,,5.5,4
0.4,0.65,0.7289,353.9,,,5.5,4.5
0.4,0.65,0.6936,360.3,,,5.5,5
0.4,0.65,0.6575,366.8,,,5.5,5.5
0.4,0.65,0.6202,373.6,,,5.5,6
0.4,0.65,1.017,301.8,,,6,0
0.4,0.65,0.9837,307.8,,,6,0.5
0.4,0.65,0.9506,313.8,,,6,1
0.4,0.65,0.9177,319.8,,,6,1.5
0.4,0.65,0.8848,325.7,,,6,2
0.4,0.65,0.852,331.7,,,6,2.5
0.4,0.65,0.8191,337.6,,,6,3
0.4,0.65,0.7861,343.6,,,6,3.5
0.4,0.65,0.7528,349.6,,,6,4
0.4,0.65,0.719,355.7,,,6,4.5
0.4,0.65,0.6847,361.9,,,6,5
0.4,0.65,0.6495,368.3,,,6,5.5
0.4,0.65,0.613,374.9,,,6,6
0.4,0.7,1.399,236.2,,,0,0
0.4,0.7,1.338,246.8,,,0,0.5
0.4,0.7,1.278,257.2,,,0,1
0.4,0.7,1.22,267.3,,,0,1.5
0.4,0.7,1.163,277.2,,,0,2
0.4,0.7,1.107,286.9,,,0,2.5
0.4,0.7,1.052,296.5,,,0,3
0.4,0.7,0.9981,305.9,,,0,3.5
0.4,0.7,0.9447,315.2,,,0,4
0.4,0.7,0.8918,324.4,,,0,4.5
0.4,0.7,0.8391,333.5,,,0,5
0.4,0.7,0.7863,342.7,,,0,5.5
0.4,0.7,0.7329,352,,,0,6
0.4,0.7,1.347,245.3,,,0.5,0
0.4,0.7,1.29,255.2,,,0.5,0.5
0.4,0.7,1.234,264.9,,,0.5,1
0.4,0.7,1.179,274.4,,,0.5,1.5
0.4,0.7,1.126,283.7,,,0.5,2
0.4,0.7,1.073,292.9,,,0.5,2.5
0.4,0.7,1.021,301.9,,,0.5,3
0.4,0.7,0.9701,310.8,,,0.5,3.5
0.4,0.7,0.9195,319.6,,,0.5,4
0.4,0.7,0.8692,328.3,,,0.5,4.5
0.4,0.7,0.819,337,,,0.5,5
0.4,0.7,0.7686,345.8,,,0.5,5.5
0.4,0.7,0.7175,354.7,,,0.5,6
0.4,0.7,1.3,253.4,,,1,0
0.4,0.7,1.246,262.7,,,1,0.5
0.4,0.7,1.194,271.8,,,1,1
0.4,0.7,1.143,280.8,,,1,1.5
0.4,0.7,1.092,289.6,,,1,2
0.4,0.7,1.042,298.2,,,1,2.5
0.4,0.7,0.9932,306.7,,,1,3
0.4,0.7,0.9447,315.2,,,1,3.5
0.4,0.7,0.8966,323.5,,,1,4
0.4,0.7,0.8487,331.9,,,1,4.5
0.4,0.7,0.8007,340.2,,,1,5
0.4,0.7,0.7524,348.6,,,1,5.5
0.4,0.7,0.7033,357.1,,,1,6
0.4,0.7,1.258,260.7,,,1.5,0
0.4,0.7,1.208,269.5,,,1.5,0.5
0.4,0.7,1.158,278.1,,,1.5,1
0.4,0.7,1.11,286.5,,,1.5,1.5
0.4,0.7,1.062,294.8,,,1.5,2
0.4,0.7,1.014,303,,,1.5,2.5
0.4,0.7,0.9678,311.1,,,1.5,3
0.4,0.7,0.9217,319.2,,,1.5,3.5
0.4,0.7,0.8757,327.2,,,1.5,4
0.4,0.7,0.8299,335.1,,,1.5,4.5
0.4,0.7,0.784,343.1,,,1.5,5
0.4,0.7,0.7376,351.2,,,1.5,5.5
0.4,0.7,0.6903,359.4,,,1.5,6
0.4,0.7,1.22,267.3,,,2,0
0.4,0.7,1.172,275.6,,,2,0.5
0.4,0.7,1.126,283.7,,,2,1
0.4,0.7,1.08,291.7,,,2,1.5
0.4,0.7,1.034,299.6,,,2,2
0.4,0.7,0.9891,307.4,,,2,2.5
0.4,0.7,0.9447,315.2,,,2,3
0.4,0.7,0.9006,322.8,,,2,3.5
0.4,0.7,0.8567,330.5,,,2,4
0.4,0.7,0.8127,338.1,,,2,4.5
0.4,0.7,0.7686,345.8,,,2,5
0.4,0.7,0.7239,353.6,,,2,5.5
0.4,0.7,0.6783,361.5,,,2,6
0.4,0.7,1.186,273.3,,,2.5,0
0.4,0.7,1.141,281.1,,,2.5,0.5
0.4,0.7,1.096,288.9,,,2.5,1
0.4,0.7,1.052,296.5,,,2.5,1.5
0.4,0.7,1.009,304,,,2.5,2
0.4,0.7,0.966,311.5,,,2.5,2.5
0.4,0.7,0.9235,318.9,,,2.5,3
0.4,0.7,0.8812,326.2,,,2.5,3.5
0.4,0.7,0.8391,333.5,,,2.5,4
0.4,0.7,0.7969,340.9,,,2.5,4.5
0.4,0.7,0.7543,348.3,,,2.5,5
0.4,0.7,0.7112,355.8,,,2.5,5.5
0.4,0.7,0.6672,363.4,,,2.5,6
0.4,0.7,1.154,278.7,,,3,0
0.4,0.7,1.111,286.2,,,3,0.5
0.4,0.7,1.069,293.6,,,3,1
0.4,0.7,1.027,300.8,,,3,1.5
0.4,0.7,0.9857,308,,,3,2
0.4,0.7,0.9447,315.2,,,3,2.5
0.4,0.7,0.904,322.3,,,3,3
0.4,0.7,0.8634,329.3,,,3,3.5
0.4,0.7,0.8229,336.3,,,3,4
0.4,0.7,0.7822,343.4,,,3,4.5
0.4,0.7,0.7412,350.6,,,3,5
0.4,0.7,0.6995,357.8,,,3,5.5
0.4,0.7,0.6568,365.2,,,3,6
0.4,0.7,1.126,283.7,,,3.5,0
0.4,0.7,1.085,290.8,,,3.5,0.5
0.4,0.7,1.044,297.9,,,3.5,1
0.4,0.7,1.004,304.9,,,3.5,1.5
0.4,0.7,0.9644,311.7,,,3.5,2
0.4,0.7,0.9251,318.6,,,3.5,2.5
0.4,0.7,0.8859,325.4,,,3.5,3
0.4,0.7,0.8469,332.2,,,3.5,3.5
0.4,0.7,0.8078,339,,,3.5,4
0.4,0.7,0.7686,345.8,,,3.5,4.5
0.4,0.7,0.7289,352.7,,,3.5,5
0.4,0.7,0.6885,359.7,,,3.5,5.5
0.4,0.7,0.6471,366.9,,,3.5,6
