,y,yhat
2486,670.561,647.0747
2487,635.40247,612.654
2488,610.45123,595.5898
2489,536.7317,584.82935
2490,542.4024,562.70264
2491,608.1829,552.5733
2492,574.15857,561.05365
2493,551.4756,549.9908
2494,569.62195,536.2332
2495,585.5,537.1509
2496,584.36584,548.81586
2497,573.0244,595.01306
2498,634.2683,649.46826
2499,715.9268,747.85724
2500,731.8049,805.776
2501,899.6585,812.4339
2502,895.12195,856.9133
2503,882.6463,844.91254
2504,911.0,836.7083
2505,886.04877,843.2866
2506,874.70734,834.2167
2507,878.10974,822.7862
2508,859.96344,795.5221
2509,731.8049,746.72815
2510,668.2927,655.1714
2511,647.87805,611.625
2512,586.63416,599.80273
2513,567.3537,579.03467
2514,583.2317,568.4334
2515,554.878,564.1438
2516,563.95123,550.06464
2517,544.6707,545.5378
2518,542.4024,535.6763
2519,557.14636,534.4706
2520,548.0731,530.5265
2521,516.3171,549.39075
2522,585.5,575.1495
2523,715.9268,677.962
2524,849.7561,794.6376
2525,887.1829,847.3246
2526,900.79266,847.4185
2527,882.6463,836.6228
2528,869.03656,826.32635
2529,844.0853,825.1361
2530,859.96344,819.57635
2531,890.5853,812.3507
2532,766.9634,786.18036
2533,653.54877,688.4054
2534,634.2683,614.0742
2535,570.7561,592.3621
2536,593.439,570.8579
2537,565.0854,568.9709
2538,561.6829,550.40765
2539,556.0122,541.61725
2540,563.95123,535.4857
2541,575.29266,531.65924
2542,579.8293,532.5365
2543,536.7317,530.02057
2544,556.0122,526.4372
2545,550.34143,569.00073
2546,553.7439,630.95575
2547,546.939,684.75885
2548,636.53656,693.6674
2549,604.78046,745.5694
2550,667.1585,698.39056
2551,632.0,720.9794
2552,658.0853,691.6746
2553,662.62195,690.4128
2554,672.8293,684.4573
2555,633.13416,668.1632
2556,626.3293,622.85767
2557,635.40247,591.6773
2558,537.86584,582.9532
2559,502.70734,537.2137
2560,529.9268,514.67554
2561,544.6707,516.3554
2562,521.9878,519.61554
2563,526.5244,510.7993
2564,528.79266,508.40854
2565,510.64636,511.53537
2566,520.85364,506.42422
2567,512.9147,508.8086
2568,516.3171,506.6989
2569,509.5122,505.6543
2570,539.0,506.62274
2571,506.10977,521.45654
2572,534.4634,510.67917
2573,527.6585,518.666
2574,590.03656,517.26385
2575,591.1707,544.6885
2576,532.1951,548.4697
2577,587.7683,528.0661
2578,528.79266,550.0965
2579,517.45123,527.0509
2580,524.2561,520.4544
2581,497.03662,518.73114
2582,473.2195,508.19336
2583,466.41464,502.31522
2584,486.82925,496.46738
2585,487.96338,499.3483
2586,484.56094,499.03827
2587,502.70734,494.34637
2588,512.9147,498.23715
2589,477.75607,499.10217
2590,515.1829,490.4836
2591,487.96338,498.60257
2592,482.29266,483.58224
2593,473.2195,480.09506
2594,446.0,475.21533
2595,451.67072,466.23465
2596,448.26828,466.62854
2597,481.1585,465.93707
2598,517.45123,480.99927
2599,498.17075,499.90717
2600,504.97562,495.18854
2601,562.8171,503.2243
2602,527.6585,529.23474
2603,495.9024,519.0971
2604,508.37805,507.33865
2605,529.9268,506.9375
2606,550.34143,515.1869
2607,519.71954,521.8571
2608,559.4147,510.74457
2609,537.86584,520.2891
2610,525.39026,514.306
2611,508.37805,508.7104
2612,516.3171,499.44104
2613,477.75607,497.09293
2614,492.49997,484.2714
2615,498.17075,483.2297
2616,497.03662,504.25052
2617,498.17075,514.5484
2618,558.2805,532.54376
2619,643.34143,629.77734
2620,786.24396,719.7379
2621,790.7805,790.2237
2622,823.6707,790.1685
2623,813.46344,794.7049
2624,866.7683,791.21954
2625,870.1707,804.3956
2626,842.9512,810.44965
2627,825.939,791.2238
2628,697.7805,757.4073
2629,627.46344,649.7108
2630,570.7561,590.1639
2631,559.4147,560.27185
2632,539.0,550.9713
2633,525.39026,540.50494
2634,501.57318,528.14844
2635,523.12195,516.51154
2636,510.64636,515.90314
2637,475.4878,506.28833
2638,490.2317,489.8607
2639,498.17075,482.1022
2640,490.2317,496.5883
2641,477.75607,511.9365
2642,532.1951,531.63086
2643,613.8537,605.4295
2644,772.63416,693.9525
2645,793.0488,788.55457
2646,791.9147,785.30383
2647,787.37805,776.8169
2648,829.34143,774.24146
2649,783.97565,788.9485
2650,803.2561,782.54126
2651,816.86584,779.04614
2652,752.21954,759.3292
2653,637.6707,686.1833
2654,624.061,599.59436
2655,560.5488,580.1428
2656,539.0,557.39606
2657,531.061,546.7241
2658,537.86584,536.0878
